Proto   Source Address & Port                           Destination Address & Port
udp     192.168.1.103:48935                             8.8.8.8:53
udp     192.168.1.103:46342                             216.58.209.118:443
udp     192.168.1.215:47568                             79.170.30.218:50433
tcp     192.168.1.215:53633                             173.194.122.162:80
udp     192.168.1.215:50597                             192.168.1.1:53
tcp     192.168.1.215:53448                             149.154.167.51:443
tcp     192.168.1.103:42380                             74.125.205.188:5228
tcp     192.168.1.103:41591                             185.60.216.32:443
udp     192.168.1.215:47568                             5.164.190.98:17577
udp     192.168.1.103:49360                             173.194.122.160:443
udp     192.168.1.215:52117                             192.168.1.1:53
tcp     192.168.1.215:53441                             178.159.234.228:9970
udp     192.168.1.103:40898                             8.8.8.8:53
udp     192.168.1.215:55329                             192.168.1.1:53
udp     192.168.1.215:63348                             192.168.1.1:53
tcp     192.168.1.215:53601                             172.217.20.196:443
udp     192.168.1.237:47492                             172.217.16.42:443
tcp     192.168.1.215:51692                             64.233.161.188:5228
tcp     192.168.1.103:36680                             172.217.20.170:443
tcp     10.8.0.2:52041                                  192.168.1.1:80
tcp     192.168.1.215:53425                             31.47.113.245:51413
tcp     192.168.1.215:53622                             172.217.20.202:443
tcp     192.168.1.103:45074                             74.125.232.78:443
udp     192.168.1.103:31491                             8.8.8.8:53
tcp     192.168.1.103:53739                             172.217.16.42:443
tcp     192.168.1.103:57063                             185.60.216.11:443
tcp     192.168.1.217:54063                             74.125.205.188:5228
udp     176.8.197.126:64526                             193.41.60.2:53
udp     10.8.0.2:56788                                  192.168.1.1:53
tcp     192.168.1.103:41883                             34.251.171.250:443
tcp     192.168.1.103:52177                             185.60.216.32:443
udp     10.8.0.2:11967                                  192.168.1.1:53
udp     176.8.197.126:35495                             193.41.60.2:53
udp     192.168.1.103:55412                             74.125.232.78:443
udp     192.168.1.215:47568                             91.78.96.203:16881
udp     176.8.197.126:9126                              193.41.60.1:53
udp     192.168.1.215:58584                             192.168.1.1:53
tcp     10.8.0.2:49607                                  198.252.206.25:443
udp     192.168.1.215:47568                             5.228.200.171:15716
udp     176.8.197.126:63297                             193.41.60.2:53
udp     192.168.1.215:47568                             78.140.29.90:16881
tcp     192.168.1.103:41136                             216.58.215.106:443
udp     176.8.197.126:25462                             193.41.60.2:53
tcp     192.168.1.103:42387                             52.49.165.18:5223
tcp     192.168.1.103:46031                             74.125.232.10:443
udp     192.168.1.215:56586                             192.168.1.1:53
udp     192.168.1.215:63184                             192.168.1.1:53
tcp     192.168.1.103:39745                             216.58.215.106:443
udp     192.168.1.103:33027                             8.8.8.8:53
udp     192.168.1.103:60906                             8.8.8.8:53
tcp     192.168.1.237:58078                             78.29.1.69:80
tcp     192.168.1.103:58360                             74.125.232.32:443
